,balance_,duration_,history_,purpose_,amount_,savings_,employment_,available_income_,status_sex_,other_debtors_,residence_,assets_,age_,other_loans_,housing_,previous_loans_,job_,people_liable_,telephone_,foreign_worker_,classification_
647,above 200 EUR,12,paid back all previous loans,other,1386,between 100 and 500 EUR,between 1 and 4 years,between 25 and 35%,male single,none,between 1 and 4 years,life insurance,26,no additional loans,own,1,skilled,0 to 2,none,no,Rejected
648,below 200 EUR,24,paid back all previous loans,other,947,no savings account at this bank,between 4  and 7 years,less than 20%,male married or widowed,none,between 4 and 7 years,none,38,at other banks,for free,1,skilled,3 and more,none,no,Rejected
649,no account,12,paid back all previous loans,repair,684,no savings account at this bank,between 1 and 4 years,less than 20%,male married or widowed,none,more than 7 years,car,40,no additional loans,rent,1,unskilled (permanent resident),3 and more,none,no,Rejected
650,no account,48,paid back all previous loans,repair,7476,no savings account at this bank,between 4  and 7 years,less than 20%,male married or widowed,none,less than 1 year,none,50,no additional loans,for free,1,executive or self-employed,0 to 2,yes,no,Approved
651,no balance,12,paid back all previous loans,used car,1922,no savings account at this bank,between 1 and 4 years,less than 20%,male married or widowed,none,between 1 and 4 years,life insurance,37,no additional loans,own,1,unskilled (permanent resident),0 to 2,none,no,Rejected
652,no account,24,paid back all previous loans,other,2303,no savings account at this bank,more than 7 years,less than 20%,male married or widowed,co-applicant,less than 1 year,real estate,45,no additional loans,own,1,skilled,0 to 2,none,no,Rejected
653,no balance,36,no problems with current loans,other,8086,below 100 EUR,more than 7 years,between 25 and 35%,male married or widowed,none,more than 7 years,car,42,no additional loans,own,6 or more,executive or self-employed,0 to 2,yes,no,Rejected
654,above 200 EUR,24,paid back previous loans at this bank,new car,2346,no savings account at this bank,between 4  and 7 years,less than 20%,male married or widowed,none,between 4 and 7 years,car,35,no additional loans,own,2 or 3,skilled,0 to 2,yes,no,Approved
655,no account,14,paid back all previous loans,other,3973,no savings account at this bank,unemployed,more than 35%,male married or widowed,none,more than 7 years,none,22,no additional loans,for free,1,skilled,0 to 2,none,no,Approved
656,no balance,12,paid back all previous loans,other,888,no savings account at this bank,more than 7 years,less than 20%,male married or widowed,none,more than 7 years,car,41,at other banks,own,1,unskilled (permanent resident),3 and more,none,no,Rejected
657,above 200 EUR,48,paid back all previous loans,furniture,10222,above 1000 EUR,between 4  and 7 years,less than 20%,male married or widowed,none,between 4 and 7 years,car,37,at department store,own,1,skilled,0 to 2,yes,no,Approved
658,no balance,30,delay payment of previous loans,retraining,4221,no savings account at this bank,between 1 and 4 years,between 25 and 35%,male single,none,less than 1 year,car,28,no additional loans,own,2 or 3,skilled,0 to 2,none,no,Approved
659,no balance,18,paid back previous loans at this bank,used car,6361,no savings account at this bank,more than 7 years,between 25 and 35%,male married or widowed,none,less than 1 year,none,41,no additional loans,own,1,skilled,0 to 2,yes,no,Approved
660,below 200 EUR,12,paid back all previous loans,furniture,1297,no savings account at this bank,between 1 and 4 years,between 20 and 25%,female,none,more than 7 years,real estate,23,no additional loans,rent,1,skilled,0 to 2,none,no,Approved
661,no account,12,paid back all previous loans,other,900,above 1000 EUR,between 1 and 4 years,less than 20%,female,none,between 1 and 4 years,car,23,no additional loans,own,1,skilled,0 to 2,none,no,Rejected
662,above 200 EUR,21,paid back all previous loans,used car,2241,no savings account at this bank,more than 7 years,less than 20%,male married or widowed,none,between 1 and 4 years,real estate,50,no additional loans,own,2 or 3,skilled,0 to 2,none,no,Approved
663,no balance,6,no problems with current loans,used car,1050,no savings account at this bank,unemployed,less than 20%,male married or widowed,none,less than 1 year,life insurance,35,at department store,own,2 or 3,executive or self-employed,0 to 2,yes,no,Approved
664,below 200 EUR,6,paid back previous loans at this bank,repair,1047,no savings account at this bank,between 1 and 4 years,between 25 and 35%,male single,none,more than 7 years,life insurance,50,no additional loans,own,1,unskilled (permanent resident),0 to 2,none,no,Approved
665,above 200 EUR,24,paid back previous loans at this bank,business,6314,no savings account at this bank,unemployed,less than 20%,male married or widowed,co-applicant,between 1 and 4 years,none,27,at other banks,own,2 or 3,executive or self-employed,0 to 2,yes,no,Approved
666,no balance,30,other loans exist at other banks,used car,3496,between 500 and 1000 EUR,between 1 and 4 years,less than 20%,male married or widowed,none,between 1 and 4 years,car,34,at department store,own,1,skilled,3 and more,yes,no,Approved
667,above 200 EUR,48,other loans exist at other banks,retraining,3609,no savings account at this bank,between 1 and 4 years,more than 35%,male single,none,less than 1 year,real estate,27,at department store,own,1,skilled,0 to 2,none,no,Approved
668,no account,12,paid back previous loans at this bank,other,4843,no savings account at this bank,more than 7 years,between 20 and 25%,male married or widowed,co-applicant,more than 7 years,life insurance,43,no additional loans,rent,2 or 3,skilled,0 to 2,yes,no,Rejected
669,below 200 EUR,30,paid back previous loans at this bank,furniture,3017,no savings account at this bank,more than 7 years,less than 20%,male married or widowed,none,more than 7 years,life insurance,47,no additional loans,own,1,skilled,0 to 2,none,no,Approved
670,above 200 EUR,24,paid back previous loans at this bank,retraining,4139,below 100 EUR,between 1 and 4 years,between 20 and 25%,male married or widowed,none,between 4 and 7 years,life insurance,27,no additional loans,own,2 or 3,unskilled (permanent resident),0 to 2,yes,no,Approved
671,above 200 EUR,36,paid back all previous loans,retraining,5742,below 100 EUR,between 4  and 7 years,between 25 and 35%,male married or widowed,none,between 1 and 4 years,car,31,no additional loans,own,2 or 3,skilled,0 to 2,yes,no,Approved
672,above 200 EUR,60,paid back all previous loans,other,10366,no savings account at this bank,more than 7 years,between 25 and 35%,male married or widowed,none,more than 7 years,life insurance,42,no additional loans,own,1,executive or self-employed,0 to 2,yes,no,Approved
673,above 200 EUR,6,paid back previous loans at this bank,other,2080,between 100 and 500 EUR,between 1 and 4 years,more than 35%,female,none,between 1 and 4 years,car,24,no additional loans,own,1,skilled,0 to 2,none,no,Approved
674,above 200 EUR,21,no problems with current loans,retraining,2580,between 100 and 500 EUR,less than 1 year,less than 20%,male married or widowed,none,between 1 and 4 years,real estate,41,at other banks,own,1,unskilled (permanent resident),3 and more,none,no,Rejected
675,above 200 EUR,30,paid back previous loans at this bank,furniture,4530,no savings account at this bank,between 4  and 7 years,less than 20%,male single,none,more than 7 years,car,26,no additional loans,rent,1,executive or self-employed,0 to 2,yes,no,Approved
676,above 200 EUR,24,paid back previous loans at this bank,used car,5150,no savings account at this bank,more than 7 years,less than 20%,male married or widowed,none,more than 7 years,car,33,no additional loans,own,1,skilled,0 to 2,yes,no,Approved
677,no balance,72,paid back all previous loans,furniture,5595,below 100 EUR,between 1 and 4 years,between 25 and 35%,female,none,between 1 and 4 years,car,24,no additional loans,own,1,skilled,0 to 2,none,no,Rejected
678,no account,24,paid back all previous loans,furniture,2384,no savings account at this bank,more than 7 years,less than 20%,male married or widowed,none,more than 7 years,real estate,64,at other banks,rent,1,unskilled (permanent resident),0 to 2,none,no,Approved
679,above 200 EUR,18,paid back all previous loans,furniture,1453,no savings account at this bank,less than 1 year,between 20 and 25%,male single,none,less than 1 year,real estate,26,no additional loans,own,1,skilled,0 to 2,none,no,Approved
680,above 200 EUR,6,paid back all previous loans,repair,1538,no savings account at this bank,less than 1 year,more than 35%,male single,none,between 1 and 4 years,none,56,no additional loans,own,1,skilled,0 to 2,none,no,Approved
681,above 200 EUR,12,paid back all previous loans,furniture,2279,above 1000 EUR,between 1 and 4 years,less than 20%,male married or widowed,none,more than 7 years,none,37,no additional loans,for free,1,skilled,0 to 2,yes,no,Approved
682,above 200 EUR,15,no problems with current loans,furniture,1478,no savings account at this bank,between 1 and 4 years,less than 20%,female,none,between 4 and 7 years,real estate,33,at other banks,own,2 or 3,skilled,0 to 2,none,no,Approved
683,above 200 EUR,24,paid back previous loans at this bank,furniture,5103,no savings account at this bank,less than 1 year,between 20 and 25%,female,none,between 4 and 7 years,none,47,no additional loans,for free,4 or 5,skilled,0 to 2,yes,no,Approved
684,no balance,36,no problems with current loans,retraining,9857,below 100 EUR,between 4  and 7 years,more than 35%,male married or widowed,none,between 4 and 7 years,life insurance,31,no additional loans,own,2 or 3,unskilled (permanent resident),3 and more,yes,no,Approved
685,above 200 EUR,60,paid back all previous loans,other,6527,above 1000 EUR,between 1 and 4 years,less than 20%,male married or widowed,none,more than 7 years,none,34,no additional loans,for free,1,skilled,3 and more,yes,no,Approved
686,below 200 EUR,10,paid back previous loans at this bank,furniture,1347,above 1000 EUR,between 4  and 7 years,less than 20%,male married or widowed,none,between 1 and 4 years,life insurance,27,no additional loans,own,2 or 3,skilled,0 to 2,yes,no,Approved
687,no balance,36,no problems with current loans,other,2862,below 100 EUR,more than 7 years,less than 20%,male married or widowed,none,between 4 and 7 years,none,30,no additional loans,for free,1,skilled,0 to 2,none,no,Approved
688,above 200 EUR,9,paid back all previous loans,furniture,2753,below 100 EUR,more than 7 years,between 20 and 25%,male married or widowed,co-applicant,more than 7 years,car,35,no additional loans,own,1,skilled,0 to 2,yes,no,Approved
689,no account,12,paid back all previous loans,other,3651,between 500 and 1000 EUR,between 1 and 4 years,more than 35%,male married or widowed,none,between 4 and 7 years,life insurance,31,no additional loans,own,1,skilled,3 and more,none,no,Approved
690,no account,15,paid back previous loans at this bank,used car,975,no savings account at this bank,between 1 and 4 years,between 25 and 35%,male divorced,none,between 4 and 7 years,life insurance,25,no additional loans,own,2 or 3,skilled,0 to 2,none,no,Approved
691,no balance,15,paid back all previous loans,domestic appliances,2631,below 100 EUR,between 1 and 4 years,between 20 and 25%,male single,none,between 1 and 4 years,real estate,25,no additional loans,own,1,unskilled (permanent resident),0 to 2,none,no,Approved
692,no balance,24,paid back all previous loans,furniture,2896,below 100 EUR,less than 1 year,between 25 and 35%,male married or widowed,none,less than 1 year,car,29,no additional loans,own,1,skilled,0 to 2,none,no,Approved
693,no account,6,paid back previous loans at this bank,other,4716,above 1000 EUR,less than 1 year,more than 35%,male married or widowed,none,between 4 and 7 years,real estate,44,no additional loans,own,2 or 3,unskilled (permanent resident),3 and more,none,no,Approved
